 v_i      u      x      Error   
5.3654e-07 0.0955409 0.0112989 0.999994
5.36004e-07 0.0963335 0.0113989 0.999994
5.35468e-07 0.0971253 0.0114989 0.999994
5.34933e-07 0.0979161 0.0115988 0.999995
5.34399e-07 0.0987061 0.0116988 0.999995
5.33865e-07 0.0994952 0.0117988 0.999995
5.33331e-07 0.100283 0.0118988 0.999995
5.32798e-07 0.101071 0.0119988 0.999995
5.32266e-07 0.101857 0.0120988 0.999995
5.31734e-07 0.102643 0.0121988 0.999995
5.31202e-07 0.103427 0.0122988 0.999995
5.30671e-07 0.104211 0.0123988 0.999995
5.30141e-07 0.104994 0.0124988 0.999995
5.29611e-07 0.105776 0.0125987 0.999995
5.29082e-07 0.106557 0.0126987 0.999995
5.28553e-07 0.107337 0.0127987 0.999995
5.28025e-07 0.108117 0.0128987 0.999995
5.27497e-07 0.108895 0.0129987 0.999995
5.2697e-07 0.109673 0.0130987 0.999995
5.26443e-07 0.110449 0.0131987 0.999995
5.25917e-07 0.111225 0.0132987 0.999995
5.25392e-07 0.112 0.0133987 0.999995
5.24866e-07 0.112774 0.0134987 0.999995
5.24342e-07 0.113547 0.0135986 0.999995
5.23818e-07 0.11432 0.0136986 0.999995
5.23294e-07 0.115091 0.0137986 0.999995
5.22771e-07 0.115862 0.0138986 0.999995
5.22249e-07 0.116632 0.0139986 0.999996
5.21727e-07 0.1174 0.0140986 0.999996
5.21206e-07 0.118168 0.0141986 0.999996
5.20685e-07 0.118936 0.0142986 0.999996
5.20164e-07 0.119702 0.0143986 0.999996
5.19644e-07 0.120467 0.0144986 0.999996
5.19125e-07 0.121232 0.0145985 0.999996
5.18606e-07 0.121995 0.0146985 0.999996
5.18088e-07 0.122758 0.0147985 0.999996
5.1757e-07 0.12352 0.0148985 0.999996
5.17053e-07 0.124281 0.0149985 0.999996
5.16536e-07 0.125042 0.0150985 0.999996
5.1602e-07 0.125801 0.0151985 0.999996
5.15504e-07 0.126559 0.0152985 0.999996
5.14989e-07 0.127317 0.0153985 0.999996
5.14474e-07 0.128074 0.0154985 0.999996
5.1396e-07 0.12883 0.0155984 0.999996
5.13447e-07 0.129585 0.0156984 0.999996
5.12933e-07 0.130339 0.0157984 0.999996
5.12421e-07 0.131092 0.0158984 0.999996
5.11909e-07 0.131845 0.0159984 0.999996
5.11397e-07 0.132597 0.0160984 0.999996
5.10886e-07 0.133347 0.0161984 0.999996
5.10375e-07 0.134097 0.0162984 0.999996
5.09865e-07 0.134846 0.0163984 0.999996
5.09356e-07 0.135595 0.0164984 0.999996
5.08847e-07 0.136342 0.0165983 0.999996
5.08338e-07 0.137089 0.0166983 0.999996
5.0783e-07 0.137834 0.0167983 0.999996
5.07323e-07 0.138579 0.0168983 0.999996
5.06816e-07 0.139323 0.0169983 0.999996
5.06309e-07 0.140067 0.0170983 0.999996
5.05803e-07 0.140809 0.0171983 0.999996
5.05298e-07 0.14155 0.0172983 0.999996
5.04793e-07 0.142291 0.0173983 0.999996
5.04288e-07 0.143031 0.0174983 0.999996
5.03784e-07 0.14377 0.0175982 0.999996
5.03281e-07 0.144508 0.0176982 0.999997
5.02778e-07 0.145245 0.0177982 0.999997
5.02275e-07 0.145982 0.0178982 0.999997
5.01773e-07 0.146717 0.0179982 0.999997
5.01272e-07 0.147452 0.0180982 0.999997
5.00771e-07 0.148186 0.0181982 0.999997
5.0027e-07 0.148919 0.0182982 0.999997
4.9977e-07 0.149652 0.0183982 0.999997
4.99271e-07 0.150383 0.0184982 0.999997
4.98772e-07 0.151114 0.0185981 0.999997
4.98273e-07 0.151843 0.0186981 0.999997
4.97776e-07 0.152572 0.0187981 0.999997
4.97278e-07 0.153301 0.0188981 0.999997
4.96781e-07 0.154028 0.0189981 0.999997
4.96285e-07 0.154754 0.0190981 0.999997
4.95789e-07 0.15548 0.0191981 0.999997
4.95293e-07 0.156205 0.0192981 0.999997
4.94798e-07 0.156929 0.0193981 0.999997
4.94304e-07 0.157652 0.0194981 0.999997
4.9381e-07 0.158375 0.019598 0.999997
4.93316e-07 0.159096 0.019698 0.999997
4.92823e-07 0.159817 0.019798 0.999997
4.92331e-07 0.160537 0.019898 0.999997
4.91838e-07 0.161256 0.019998 0.999997
4.91347e-07 0.161974 0.020098 0.999997
